# 6 = SiCCC, 7 = CCCC_180, 11 = CCCC_60
1	7	1	3	4	5
2	7	1	10	11	12
3	7	1	17	18	19
4	11	2	1	3	4
5	7	2	1	10	11
6	11	2	1	17	18
7	11	3	1	10	11
8	7	3	1	17	18
9	7	3	4	5	6
10	11	4	3	1	10
11	7	4	3	1	17
12	7	4	5	6	7
13	7	5	6	7	8
14	6	6	7	8	9
15	11	10	1	17	18
16	7	10	11	12	13
17	11	11	10	1	17
18	7	11	12	13	14
19	7	12	13	14	15
20	6	13	14	15	16
21	7	17	18	19	20
22	7	18	19	20	21
23	7	19	20	21	22
24	6	20	21	22	23
