0	1.6584146e-07
10	2.2532105e-07
20	1.1353935e-07
30	0.0016156171
40	0.001284941
50	0.0011190267
60	0.0012121588
70	0.0016303195
80	2.8967218e-07
90	1.3175512e-07
100	5.3877111e-08
110	2.9622292e-07
120	2.1291118e-07
130	1.5882e-07
140	4.8880615e-07
150	6.5134639e-08
160	0.0016646205
170	0.0010735744
180	0.00075032582
190	0.0010735744
200	0.0016646205
210	6.5134639e-08
220	4.8880615e-07
230	1.5882e-07
240	2.1291118e-07
250	2.9622292e-07
260	5.3877111e-08
270	1.3175512e-07
280	2.8967218e-07
290	0.0016303195
300	0.0012121588
310	0.0011190267
320	0.001284941
330	0.0016156171
340	1.1353935e-07
350	2.2532105e-07
360	1.6584146e-07
