0	0	0
2.969848481	2.969848481	0
2.969848481	0	2.969848481
0	2.969848481	2.969848481
0	0	5.939696962
2.969848481	2.969848481	5.939696962
2.969848481	0	8.909545443
0	2.969848481	8.909545443
0	5.939696962	0
2.969848481	8.909545443	0
2.969848481	5.939696962	2.969848481
0	8.909545443	2.969848481
0	5.939696962	5.939696962
2.969848481	8.909545443	5.939696962
2.969848481	5.939696962	8.909545443
0	8.909545443	8.909545443
5.939696962	0	0
8.909545443	2.969848481	0
8.909545443	0	2.969848481
5.939696962	2.969848481	2.969848481
5.939696962	0	5.939696962
8.909545443	2.969848481	5.939696962
8.909545443	0	8.909545443
5.939696962	2.969848481	8.909545443
5.939696962	5.939696962	0
8.909545443	8.909545443	0
8.909545443	5.939696962	2.969848481
5.939696962	8.909545443	2.969848481
5.939696962	5.939696962	5.939696962
8.909545443	8.909545443	5.939696962
8.909545443	5.939696962	8.909545443
5.939696962	8.909545443	8.909545443
