1	1	6	-0.0940		2.874087		1.562461		3.259113
2	1	7	0.3010		4.233899		1.541729		2.947737
3	1	6	-0.0940		4.896356		2.728902		2.636302
4	1	5	-0.2120		4.198691		3.937405		2.634993
5	1	4	-0.0400		2.839101		3.957993		2.945842
6	1	5	-0.2120		2.176812		2.770498		3.258312
7	1	3	0.0430		2.352084		0.626424		3.505059
8	1	3	0.0430		5.968314		2.712722		2.391474
9	1	2	0.1240		4.721214		4.873314		2.389349
10	1	2	0.1240		1.105025		2.786997		3.503528
11	1	8	-0.0910		2.103778		5.230864		2.944568
12	1	1	0.2420		2.147332		5.641892		3.855149
13	1	1	0.2420		2.515036		5.852732		2.278125
14	1	9	-0.6180		5.123543		0.000000		2.950116
15	1	1	0.2420		1.148747		5.063865		2.699564
