1.81636060,0.0003492840
1.82303840,0.0003492840
1.82971619,0.0003492840
1.83639399,0.0010478519
1.84307179,0.0038421236
1.84974958,0.0052392595
1.85642738,0.0094306671
1.86310518,0.0220048900
1.86978297,0.0307369892
1.87646077,0.0370241006
1.88313856,0.0632203982
1.88981636,0.0684596577
1.89649416,0.0957038072
1.90317195,0.1086273140
1.90984975,0.1054837583
1.91652755,0.0950052393
1.92320534,0.0936081034
1.92988314,0.0775410409
1.93656093,0.0586797066
1.94323873,0.0478519036
1.94991653,0.0314355571
1.95659432,0.0167656305
1.96327212,0.0115263709
1.96994992,0.0083828152
1.97662771,0.0052392595
1.98330551,0.0010478519
1.98998331,0.0006985679
2.00333890,0.0003492840
