SiO,1.64332744,0.02001059
SiC,1.91367382,0.02529869
CC,1.54116870,0.02617542
OO,2.70879788,0.07409693
SiSi,3.15245490,0.08563392
Si-O mode,1.63945560
O-O mode,2.66819230
Si-Si mode,3.13469431
